Bottom Cand 213: x=1500, y=1496, w=51, h=38, area=1417.0
Bottom Cand 214: x=1440, y=1496, w=51, h=39, area=1422.0
Bottom Cand 215: x=1380, y=1497, w=51, h=38, area=1428.5
Bottom Cand 216: x=1320, y=1497, w=51, h=38, area=1416.0
Bottom Cand 217: x=1260, y=1497, w=51, h=38, area=1429.0
Bottom Cand 218: x=1200, y=1497, w=50, h=38, area=1427.5
Bottom Cand 219: x=1140, y=1497, w=50, h=38, area=1411.5
Bottom Cand 220: x=1081, y=1497, w=49, h=38, area=1411.0
Bottom Cand 221: x=1021, y=1497, w=49, h=38, area=1407.0
Bottom Cand 222: x=2012, y=1540, w=52, h=37, area=1388.0
Bottom Cand 223: x=1952, y=1540, w=52, h=37, area=1384.5
Bottom Cand 224: x=1893, y=1540, w=52, h=37, area=1385.0
Bottom Cand 225: x=1834, y=1540, w=51, h=37, area=1381.0
Bottom Cand 226: x=1775, y=1540, w=51, h=37, area=1376.5
Bottom Cand 227: x=1716, y=1540, w=51, h=37, area=1375.5
Bottom Cand 228: x=1657, y=1540, w=50, h=37, area=1366.0
Bottom Cand 229: x=1598, y=1540, w=50, h=37, area=1364.5
Bottom Cand 230: x=1539, y=1540, w=50, h=37, area=1364.5
Bottom Cand 231: x=1480, y=1540, w=50, h=37, area=1368.5
Bottom Cand 232: x=1421, y=1540, w=50, h=38, area=1373.5
Bottom Cand 233: x=1362, y=1541, w=50, h=36, area=1367.5
Bottom Cand 234: x=1303, y=1541, w=49, h=36, area=1350.0
Bottom Cand 235: x=1244, y=1541, w=49, h=37, area=1367.5
Bottom Cand 236: x=1184, y=1541, w=50, h=36, area=1371.5
Bottom Cand 237: x=1125, y=1541, w=49, h=37, area=1358.0
Bottom Cand 238: x=1066, y=1541, w=49, h=36, area=1353.0
Bottom Cand 239: x=1008, y=1541, w=48, h=36, area=1347.5
Bottom Cand 240: x=362, y=1547, w=121, h=19, area=1333.0
Bottom Cand 241: x=1985, y=1583, w=52, h=36, area=1348.0
Bottom Cand 242: x=1927, y=1583, w=51, h=36, area=1334.5
Bottom Cand 243: x=1868, y=1583, w=51, h=36, area=1335.0
Bottom Cand 244: x=1810, y=1583, w=50, h=36, area=1327.5
Bottom Cand 245: x=1751, y=1583, w=51, h=36, area=1332.0
Bottom Cand 246: x=1693, y=1583, w=51, h=36, area=1322.5
Bottom Cand 247: x=1635, y=1583, w=50, h=36, area=1323.5
Bottom Cand 248: x=1577, y=1583, w=50, h=36, area=1323.5
Bottom Cand 249: x=1519, y=1583, w=49, h=36, area=1317.0
Bottom Cand 250: x=1461, y=1583, w=49, h=36, area=1314.0
Bottom Cand 251: x=1403, y=1583, w=49, h=36, area=1323.0
Bottom Cand 252: x=1344, y=1583, w=49, h=36, area=1325.0
Bottom Cand 253: x=1286, y=1583, w=49, h=36, area=1317.5
Bottom Cand 254: x=1227, y=1583, w=49, h=36, area=1319.5
Bottom Cand 255: x=1169, y=1583, w=48, h=36, area=1325.0
Bottom Cand 256: x=1111, y=1583, w=48, h=36, area=1312.5
Bottom Cand 257: x=1052, y=1583, w=48, h=36, area=1310.5
Bottom Cand 258: x=994, y=1583, w=48, h=36, area=1307.5
Bottom Cand 259: x=1959, y=1624, w=52, h=35, area=1292.5
Bottom Cand 260: x=1902, y=1624, w=50, h=35, area=1282.5
Bottom Cand 261: x=1844, y=1624, w=50, h=35, area=1279.0
Bottom Cand 262: x=1786, y=1624, w=50, h=35, area=1285.5
Bottom Cand 263: x=1729, y=1624, w=50, h=35, area=1283.5
Bottom Cand 264: x=1671, y=1624, w=50, h=35, area=1278.0
Bottom Cand 265: x=1614, y=1624, w=49, h=35, area=1276.5
Bottom Cand 266: x=1557, y=1624, w=48, h=35, area=1270.0
Bottom Cand 267: x=1499, y=1624, w=49, h=36, area=1271.0
Bottom Cand 268: x=1442, y=1624, w=48, h=36, area=1270.0
Bottom Cand 269: x=1384, y=1624, w=49, h=36, area=1282.0
Bottom Cand 270: x=1327, y=1624, w=48, h=36, area=1275.0
Bottom Cand 271: x=1269, y=1625, w=48, h=35, area=1272.0
Bottom Cand 272: x=1211, y=1625, w=49, h=35, area=1279.0
Bottom Cand 273: x=1154, y=1625, w=48, h=35, area=1282.5
Bottom Cand 274: x=1096, y=1625, w=48, h=35, area=1272.5
Bottom Cand 275: x=1039, y=1625, w=47, h=35, area=1263.0
Bottom Cand 276: x=981, y=1625, w=48, h=35, area=1264.0
